Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
Finland,7398,329,6920,149,5,0,0
France,220352,30212,81212,108928,2551,17,267
Gabon,7189,49,4682,2458,205,0,219
Gambia,326,8,66,252,49,2,6
Georgia,1137,16,922,199,6,0,2
Germany,207112,9125,190314,7673,445,1,259
Ghana,33624,168,29801,3655,655,0,307
Greece,4227,202,1374,2651,34,0,0
Greenland,14,0,13,1,1,0,0
Grenada,23,0,23,0,0,0,0
Guatemala,45309,1761,32455,11093,256,27,843
Guinea,7055,45,6257,753,47,2,105
Guinea-Bissau,1954,26,803,1125,0,0,0
Guyana,389,20,181,188,19,0,0
Haiti,7340,158,4365,2817,25,1,0
Holy See,12,0,12,0,0,0,0
Honduras,39741,1166,5039,33536,465,50,117
Hungary,4448,596,3329,523,13,0,0
Iceland,1854,10,1823,21,7,0,0
India,1480073,33408,951166,495499,44457,637,33598
Indonesia,100303,4838,58173,37292,1525,57,1518
Iran,293606,15912,255144,22550,2434,212,1931
Iraq,112585,4458,77144,30983,2553,96,1927
Ireland,25892,1764,23364,764,11,0,0
Israel,63985,474,27133,36378,2029,4,108
Italy,246286,35112,198593,12581,168,5,147
Jamaica,853,10,714,129,11,0,0
Japan,31142,998,21970,8174,594,0,364
Jordan,1176,11,1041,124,8,0,0
Kazakhstan,84648,585,54404,29659,1526,0,1833
Kenya,17975,285,7833,9857,372,5,90
Kosovo,7413,185,4027,3201,496,16,274
Kuwait,64379,438,55057,8884,606,5,684
Kyrgyzstan,33296,1301,21205,10790,483,24,817
Laos,20,0,19,1,0,0,0
Latvia,1219,31,1045,143,0,0,0
Lebanon,3882,51,1709,2122,132,0,17
Lesotho,505,12,128,365,0,0,0
Liberia,1167,72,646,449,5,0,5
Libya,2827,64,577,2186,158,4,24
Liechtenstein,86,1,81,4,0,0,0
Lithuania,2019,80,1620,319,11,0,4
Luxembourg,6321,112,4825,1384,49,0,178
Madagascar,9690,91,6260,3339,395,6,681
Malawi,3664,99,1645,1920,24,0,6
Malaysia,8904,124,8601,179,7,0,1
Maldives,3369,15,2547,807,67,0,19
Mali,2513,124,1913,476,3,1,2
Malta,701,9,665,27,1,0,0
Mauritania,6208,156,4653,1399,37,0,223
Mauritius,344,10,332,2,0,0,0
Mexico,395489,44022,303810,47657,4973,342,8588
Moldova,23154,748,16154,6252,120,13,245
Monaco,116,4,104,8,0,0,0
Mongolia,289,0,222,67,1,0,4
Montenegro,2893,45,809,2039,94,2,70
Morocco,20887,316,16553,4018,609,3,115
Mozambique,1701,11,0,1690,32,0,0
Namibia,1843,8,101,1734,68,0,26
Nepal,18752,48,13754,4950,139,3,626
Netherlands,53413,6160,189,47064,419,1,0
New Zealand,1557,22,1514,21,1,0,1
Nicaragua,3439,108,2492,839,0,0,0
Niger,1132,69,1027,36,0,0,0
Nigeria,41180,860,18203,22117,648,2,829
North Macedonia,10213,466,5564,4183,127,6,137
Norway,9132,255,8752,125,15,0,0
Oman,77058,393,57028,19637,1053,9,1729
Pakistan,274289,5842,241026,27421,1176,20,3592
Panama,61442,1322,35086,25034,1146,28,955
Papua New Guinea,62,0,11,51,0,0,0
Paraguay,4548,43,2905,1600,104,2,111
Peru,389717,18418,272547,98752,13756,575,4697
Philippines,82040,1945,26446,53649,1592,13,336
Poland,43402,1676,32856,8870,337,5,103
Portugal,50299,1719,35375,13205,135,2,158
Qatar,109597,165,106328,3104,292,0,304
Romania,45902,2206,25794,17902,1104,19,151
Russia,816680,13334,602249,201097,5607,85,3077
Rwanda,1879,5,975,899,58,0,57
Saint Kitts and Nevis,17,0,15,2,0,0,0
Saint Lucia,24,0,22,2,0,0,0
Saint Vincent and the Grenadines,52,0,39,13,0,0,0
San Marino,699,42,657,0,0,0,0
Sao Tome and Principe,865,14,734,117,2,0,38
Saudi Arabia,268934,2760,222936,43238,1993,27,2613
Senegal,9764,194,6477,3093,83,3,68
Serbia,24141,543,0,23598,411,9,0
Seychelles,114,0,39,75,0,0,0
Sierra Leone,1783,66,1317,400,0,0,4
Singapore,50838,27,45692,5119,469,0,171
Slovakia,2181,28,1616,537,2,0,39
Slovenia,2087,116,1733,238,5,0,55
Somalia,3196,93,1543,1560,18,0,22
South Africa,452529,7067,274925,170537,7096,298,9848
South Korea,14203,300,13007,896,28,1,102
South Sudan,2305,46,1175,1084,43,1,0
Spain,272421,28432,150376,93613,0,0,0
Sri Lanka,2805,11,2121,673,23,0,15
Sudan,11424,720,5939,4765,39,3,49
Suriname,1483,24,925,534,44,1,35
Sweden,79395,5700,0,73695,398,3,0
Switzerland,34477,1978,30900,1599,65,1,200
Syria,674,40,0,634,24,2,0
Taiwan*,462,7,440,15,4,0,0
Tajikistan,7235,60,6028,1147,43,1,58
Tanzania,509,21,183,305,0,0,0
Thailand,3297,58,3111,128,6,0,2
Timor-Leste,24,0,0,24,0,0,0
Togo,874,18,607,249,6,0,8
Trinidad and Tobago,148,8,128,12,1,0,0
Tunisia,1455,50,1157,248,3,0,15
Turkey,227019,5630,210469,10920,919,17,982
US,4290259,148011,1325804,2816444,56336,1076,27941
Uganda,1128,2,986,140,13,0,4
Ukraine,67096,1636,37202,28258,835,11,317
United Arab Emirates,59177,345,52510,6322,264,1,328
United Kingdom,301708,45844,1437,254427,688,7,3
Uruguay,1202,35,951,216,10,1,3
Uzbekistan,21209,121,11674,9414,678,5,569
Venezuela,15988,146,9959,5883,525,4,213
Vietnam,431,0,365,66,11,0,0
West Bank and Gaza,10621,78,3752,6791,152,2,0
Western Sahara,10,1,8,1,0,0,0
Yemen,1691,483,833,375,10,4,36
Zambia,4552,140,2815,1597,71,1,465
Zimbabwe,2704,36,542,2126,192,2,24
